runtime_mode,runtime_temperature,runtime_top_p,gamma,max_new_tokens,speedup,acceptance_rate,avg_accepted_tokens,tokens_per_second,sd_time_s,vanilla_time_s,n_prompts,n_repeats
greedy,0.0,0.9,1,128,1.1844171881813688,0.7700290211942661,0.7700290211942661,625.6537083507654,10.229300832996765,12.115759729679363,50,3
sampling,0.5,0.9,1,128,1.1662033482060905,0.7765422292824994,0.7765422292824994,599.9094275676688,10.668277086340822,12.441380457680983,50,3
sampling,1.0,0.9,1,128,1.173985406039138,0.7602554010321001,0.7602554010321001,604.4907747354149,10.587423774665998,12.429480999009684,50,3
sampling,1.5,0.9,1,128,1.15290181357218,0.7389915385943706,0.7389915385943706,592.834212385782,10.795598273999834,12.446264828691104,50,3
sampling,2.0,0.9,1,128,0.8124617208542547,0.47823511992893103,0.47823511992893103,396.1977846416208,16.04249252869825,13.033911086657705,50,3
greedy,0.0,0.9,2,128,0.9978358922425541,0.667957461565137,1.335914923130274,527.1704693793012,12.140285489692664,12.114012603686811,50,3
sampling,0.5,0.9,2,128,1.0049673854877033,0.6735393193169938,1.3470786386339877,516.7590431703094,12.384882441023365,12.446402926327815,50,3
sampling,1.0,0.9,2,128,0.7942548024442038,0.6620936130966105,1.324187226193221,408.7139533326065,15.658873272652272,12.437135297669252,50,3
sampling,1.5,0.9,2,128,0.9810093929919234,0.6370249238750423,1.2740498477500846,503.78489241828754,12.70383470468611,12.462581172313852,50,3
sampling,2.0,0.9,2,128,0.595653655875972,0.35775382773073305,0.7155076554614661,290.82279002861526,21.89993431867333,13.044775940361433,50,3
greedy,0.0,0.9,4,128,0.6363143513308517,0.5317600862334463,2.127040344933785,335.96026103852387,19.049872089681838,12.121707001681594,50,3
sampling,0.5,0.9,4,128,0.6430832410751084,0.5299938395194825,2.11997535807793,330.14164317354715,19.385618665003374,12.466566481336486,50,3
sampling,1.0,0.9,4,128,0.6130842908160596,0.5015956657265845,2.006382662906338,315.1865806972484,20.305433010003373,12.448941996650925,50,3
sampling,1.5,0.9,4,128,0.6208622566749847,0.48631134410950927,1.945245376438037,318.7195905246821,20.080347083353747,12.467129604987955,50,3
sampling,2.0,0.9,4,128,0.3015661043902918,0.23932644507261916,0.9573057802904766,147.0494624082004,43.27115445234813,13.049113480665255,50,3
greedy,0.0,0.9,6,128,0.4476698883072564,0.4303574572988202,2.5821447437929215,236.35222106029266,27.07823083400338,12.1221085730164,50,3
sampling,0.5,0.9,6,128,0.46177492922079116,0.4165373786128828,2.499224271677297,237.21583560584716,26.97964907635469,12.45852554263547,50,3
sampling,1.0,0.9,6,128,0.4495675062409816,0.4080401155872854,2.4482406935237124,231.33176383960358,27.665893752651755,12.4376868623076,50,3
sampling,1.5,0.9,6,128,0.4477190205788219,0.3704999734902709,2.2229998409416254,229.99558627838098,27.82662095199339,12.458507478644606,50,3
sampling,2.0,0.9,6,128,0.21035357926342851,0.16334772088156432,0.9800863252893859,103.22289649602779,62.0017478413453,13.042289579015536,50,3
greedy,0.0,0.9,8,128,0.37352665061849394,0.3610156548300878,2.8881252386407024,197.37437272382616,32.42568886567218,12.11185895599192,50,3
sampling,0.5,0.9,8,128,0.3775056123548056,0.34194612424409015,2.7355689939527212,194.07959202399473,32.97616165232224,12.448686097670967,50,3
sampling,1.0,0.9,8,128,0.3639891764775198,0.31600710079667477,2.528056806373398,187.26109369920147,34.17688038434911,12.440014545669934,50,3
sampling,1.5,0.9,8,128,0.35038360140922786,0.300852797849101,2.406822382792808,179.97560106485923,35.56037575167526,12.459772523337355,50,3
